PERIOD,"Assets of Long-Term Insurers: Coin, Banknotes and Deposits",Assets of Long-Term Insurers: Fixed Property,Assets of Long-Term Insurers: Fixed-Interest Securities - Government,Assets of Long-Term Insurers: Fixed-Interest Securities - Local Governments,Assets of Long-Term Insurers: Fixed-Interest Securities - Public Enterprises,Assets of Long-Term Insurers: Loans against Policies,Assets of Long-Term Insurers: Mortgage Loans,Assets of Long-Term Insurers: Ordinary Shares,Assets of Long-Term Insurers: Other Fixed-Interest Securities,Assets of Long-Term Insurers: Other Loans,"Assets of Short-Term Insurers: Coin, Banknotes & Deposits",Assets of Short-Term Insurers: Fixed Property,Assets of Short-Term Insurers: Fixed-Interest Securities - Government,Assets of Short-Term Insurers: Fixed-Interest Securities - Local Governments,Assets of Short-Term Insurers: Fixed-Interest Securities - Public Enterprises,Assets of Short-Term Insurers: Mortgage Loans,Assets of Short-Term Insurers: Ordinary Shares,Assets of Short-Term Insurers: Other Fixed-Interest Securities,Assets of Short-Term Insurers: Other Loans,Final Consumption Expenditure by Constant Prices - General Government,Final Consumption Expenditure by Constant Prices - Households,Final Consumption Expenditure by Current Prices - General Government,Final Consumption Expenditure by Current Prices - Households,Final Consumption Expenditure by Households at Constant Prices - Durable Goods,Final Consumption Expenditure by Households at Constant Prices - Non - Durable Goods,Final Consumption Expenditure by Households at Constant Prices - Semi - Durable Goods ,Final Consumption Expenditure by Households at Constant Prices - Services,Final Consumption Expenditure by Households at Constant Prices - Total,Final Consumption Expenditure by Households at Current Prices - Durable Goods,Final Consumption Expenditure by Households at Current Prices - Non - Durable Goods,Final Consumption Expenditure by Households at Current Prices - Semi - Durable Goods ,Final Consumption Expenditure by Households at Current Prices - Services,Final Consumption Expenditure by Households at Current Prices - Total
2002-09-30,76217.0,38800.0,101366.0,3200.0,13973.0,7730.0,1849.0,342911.0,29014.0,32972.0,13990.0,569.0,4438.0,36.0,442.0,358.0,14750.0,1334.0,648.0,135873.0,445059.0,58268.0,214698.0,33410.0,162243.0,26610.0,231209.0,445059.0,24791.0,62360.0,21165.0,106383.0,214698.0
2002-12-31,74369.0,37641.0,100672.0,2042.0,15706.0,10546.0,2472.0,342239.0,33448.0,40175.0,14262.0,564.0,4386.0,37.0,503.0,359.0,14458.0,1352.0,774.0,141115.0,470005.0,59351.0,232392.0,35233.0,171737.0,34863.0,234114.0,470005.0,26715.0,67918.0,28197.0,109562.0,232392.0
2003-03-31,75573.0,38080.0,102712.0,2098.0,19395.0,10030.0,2382.0,307088.0,28591.0,34211.0,16863.0,584.0,4365.0,41.0,562.0,373.0,13355.0,1348.0,882.0,139401.0,443770.0,61584.0,216579.0,31658.0,164026.0,26136.0,230479.0,443770.0,21945.0,65738.0,21268.0,107628.0,216579.0
2003-06-30,83836.0,38552.0,107153.0,2528.0,21143.0,10136.0,2100.0,335536.0,27956.0,32583.0,17206.0,591.0,4542.0,34.0,595.0,372.0,13918.0,1361.0,922.0,145743.0,453169.0,62278.0,227085.0,31730.0,163225.0,28744.0,238587.0,453169.0,23944.0,66211.0,23549.0,113382.0,227085.0
2003-09-30,83621.0,37957.0,108671.0,2642.0,20759.0,10382.0,2093.0,353839.0,30003.0,36293.0,17785.0,643.0,4370.0,13.0,596.0,352.0,14248.0,1390.0,961.0,143010.0,458955.0,62152.0,231881.0,36803.0,164113.0,27573.0,239120.0,458955.0,27957.0,67435.0,22575.0,113914.0,231881.0
2003-12-31,85994.0,38729.0,100069.0,2457.0,21693.0,10160.0,1326.0,389914.0,35140.0,36738.0,17900.0,636.0,4099.0,12.0,648.0,359.0,16192.0,1360.0,956.0,148715.0,486776.0,65362.0,247058.0,40006.0,175596.0,36877.0,239543.0,486776.0,29714.0,72278.0,30045.0,115021.0,247058.0
2004-03-31,85829.0,38909.0,106082.0,1978.0,20691.0,10369.0,1077.0,386770.0,36798.0,36237.0,19360.0,657.0,4356.0,77.0,584.0,357.0,16366.0,1751.0,563.0,146740.0,464250.0,67749.0,244614.0,35099.0,168790.0,28653.0,240139.0,464250.0,25213.0,71576.0,23093.0,124732.0,244614.0
2004-06-30,91970.0,37398.0,96742.0,1980.0,18329.0,10081.0,1079.0,386119.0,32325.0,33742.0,19794.0,666.0,4898.0,182.0,585.0,355.0,16223.0,1628.0,452.0,153707.0,481008.0,71035.0,259186.0,35866.0,170436.0,33495.0,249616.0,481008.0,27706.0,73510.0,26837.0,131132.0,259186.0
2004-09-30,87921.0,37729.0,104386.0,1973.0,17640.0,10152.0,1194.0,421967.0,39680.0,37048.0,19122.0,701.0,5232.0,153.0,677.0,350.0,17549.0,1742.0,546.0,150552.0,490722.0,69207.0,263392.0,40891.0,173143.0,32534.0,252199.0,490722.0,31996.0,74332.0,25826.0,131239.0,263392.0
2004-12-31,95086.0,38238.0,111288.0,1727.0,12605.0,5904.0,1559.0,455347.0,39657.0,56662.0,20293.0,704.0,4463.0,235.0,807.0,349.0,18508.0,2232.0,626.0,156083.0,521681.0,72995.0,284913.0,46107.0,186019.0,44379.0,248231.0,521681.0,36251.0,81321.0,35282.0,132060.0,284913.0
2005-03-31,94968.0,39107.0,112987.0,1750.0,11672.0,5505.0,2155.0,468104.0,39360.0,55444.0,21239.0,752.0,4521.0,125.0,794.0,349.0,18916.0,2537.0,674.0,156166.0,495224.0,74029.0,269322.0,42070.0,177525.0,33935.0,248380.0,495224.0,31732.0,75470.0,26445.0,135676.0,269322.0
2005-06-30,95239.0,40383.0,115635.0,1822.0,12203.0,5512.0,1795.0,489794.0,41780.0,57616.0,20183.0,739.0,4488.0,123.0,441.0,358.0,18707.0,2733.0,726.0,147548.0,509755.0,70506.0,284421.0,43667.0,180240.0,38495.0,253235.0,509755.0,34320.0,78336.0,30057.0,141707.0,284421.0
2005-09-30,103616.0,42290.0,125273.0,1990.0,12959.0,5341.0,2060.0,498542.0,43220.0,53716.0,22555.0,747.0,4539.0,123.0,445.0,357.0,20374.0,2922.0,668.0,154010.0,517994.0,74520.0,293311.0,48643.0,181760.0,37289.0,256008.0,517994.0,35587.0,81689.0,30054.0,145981.0,293311.0
2005-12-31,106690.0,43228.0,114026.0,1804.0,13216.0,5499.0,2096.0,568516.0,44995.0,57435.0,22559.0,763.0,4489.0,36.0,395.0,346.0,21150.0,3014.0,921.0,155909.0,554760.0,77600.0,321153.0,54076.0,195108.0,50377.0,256134.0,554760.0,41168.0,93434.0,38340.0,148211.0,321153.0
2006-03-31,115241.0,43064.0,127323.0,3130.0,12780.0,5224.0,2164.0,617591.0,46822.0,69339.0,22621.0,748.0,4650.0,4.0,290.0,305.0,20580.0,3077.0,1161.0,162952.0,528016.0,79882.0,300115.0,48691.0,182518.0,39470.0,261806.0,528016.0,37515.0,84736.0,30650.0,147214.0,300115.0
2006-06-30,116032.0,46280.0,114215.0,3029.0,14025.0,5502.0,2199.0,604461.0,47010.0,74684.0,24696.0,741.0,4683.0,4.0,377.0,313.0,19055.0,3027.0,1140.0,150723.0,551310.0,76702.0,315104.0,50756.0,187201.0,44623.0,274088.0,551310.0,38474.0,89390.0,33857.0,153383.0,315104.0
2006-09-30,128983.0,47311.0,119807.0,3056.0,15122.0,6057.0,2198.0,614788.0,53270.0,81405.0,24247.0,753.0,5160.0,4.0,754.0,311.0,18350.0,3022.0,1024.0,160657.0,565926.0,83583.0,331665.0,58009.0,192172.0,44863.0,276053.0,565926.0,41604.0,95630.0,33766.0,160665.0,331665.0
2006-12-31,144193.0,49601.0,131472.0,4188.0,13543.0,3781.0,2551.0,684841.0,58205.0,88356.0,23820.0,782.0,4732.0,4.0,990.0,323.0,20554.0,3558.0,922.0,162420.0,614829.0,86183.0,361027.0,63074.0,214592.0,58787.0,279711.0,614829.0,48444.0,105648.0,42465.0,164470.0,361027.0
2007-03-31,156983.0,51658.0,117835.0,4388.0,15352.0,4686.0,2552.0,709243.0,62561.0,97673.0,23261.0,822.0,4374.0,0.0,1191.0,323.0,22242.0,3658.0,945.0,170065.0,568628.0,90527.0,344999.0,53493.0,192265.0,45131.0,283668.0,568628.0,46077.0,96393.0,34752.0,167777.0,344999.0
2007-06-30,165340.0,54412.0,115844.0,4151.0,14322.0,5418.0,2592.0,711441.0,65665.0,94816.0,24453.0,850.0,4444.0,4.0,1235.0,325.0,23515.0,3766.0,1037.0,159094.0,590994.0,84871.0,362439.0,57501.0,196759.0,49227.0,294282.0,590994.0,45077.0,102862.0,37210.0,177291.0,362439.0
2007-09-30,174429.0,53598.0,128439.0,4222.0,12760.0,5497.0,1222.0,721347.0,68325.0,91303.0,26018.0,852.0,4351.0,4.0,1268.0,53.0,23214.0,3550.0,899.0,170678.0,602836.0,95358.0,373505.0,65395.0,201150.0,47550.0,295406.0,602836.0,45914.0,106101.0,36224.0,185267.0,373505.0
2007-12-31,176935.0,55847.0,121695.0,4359.0,13378.0,4437.0,1136.0,731964.0,71563.0,91773.0,24612.0,870.0,4278.0,4.0,1399.0,58.0,22983.0,3780.0,984.0,176420.0,644934.0,102045.0,408428.0,69302.0,225820.0,60464.0,290423.0,644934.0,52050.0,119199.0,44310.0,192869.0,408428.0
2008-03-31,171491.0,56845.0,115476.0,3827.0,13505.0,4369.0,1874.0,693890.0,75104.0,101115.0,26384.0,928.0,4031.0,5.0,1484.0,63.0,22305.0,3615.0,926.0,182061.0,586460.0,105806.0,385749.0,54367.0,197118.0,45724.0,296066.0,586460.0,47788.0,110081.0,36247.0,191633.0,385749.0
2008-06-30,188599.0,54189.0,100072.0,3609.0,14752.0,2652.0,2155.0,648359.0,70490.0,105554.0,27912.0,1015.0,3929.0,5.0,1457.0,40.0,22339.0,3537.0,975.0,170791.0,603772.0,102169.0,404561.0,55102.0,197192.0,49951.0,310359.0,603772.0,46028.0,116295.0,39840.0,202399.0,404561.0
2008-09-30,180055.0,56355.0,116812.0,5196.0,16181.0,4349.0,2298.0,595244.0,79061.0,107919.0,28007.0,1049.0,4500.0,5.0,957.0,40.0,19144.0,3953.0,1263.0,187017.0,603749.0,117966.0,413975.0,57472.0,196620.0,47898.0,311008.0,603749.0,44385.0,120743.0,38402.0,210445.0,413975.0
2008-12-31,201574.0,59294.0,118150.0,6269.0,16828.0,4250.0,2875.0,570381.0,83533.0,102041.0,29580.0,1126.0,5575.0,5.0,1022.0,40.0,18530.0,3956.0,1074.0,188264.0,642566.0,119929.0,442015.0,58064.0,216679.0,60497.0,312623.0,642566.0,49178.0,136036.0,47738.0,209063.0,442015.0
2009-03-31,203545.0,59021.0,107823.0,5653.0,16948.0,3163.0,3364.0,546321.0,81223.0,96784.0,32617.0,1163.0,5036.0,18.0,1076.0,40.0,18194.0,3786.0,950.0,187915.0,578255.0,119941.0,412877.0,44797.0,189169.0,44993.0,308874.0,578255.0,42857.0,120544.0,37625.0,211850.0,412877.0
2009-06-30,194851.0,60744.0,104782.0,5427.0,16974.0,2885.0,2523.0,572040.0,78802.0,105334.0,34880.0,1293.0,5614.0,4.0,1018.0,41.0,16881.0,4067.0,986.0,181689.0,585806.0,119260.0,423373.0,43973.0,190585.0,48010.0,313011.0,585806.0,40356.0,123093.0,40075.0,219849.0,423373.0
2009-09-30,189053.0,61687.0,113675.0,5755.0,19915.0,2702.0,2532.0,625200.0,76307.0,105411.0,34676.0,1282.0,5806.0,4.0,1003.0,40.0,17523.0,4005.0,1357.0,185953.0,584055.0,124784.0,432210.0,49259.0,191863.0,45274.0,306699.0,584055.0,41284.0,128646.0,38633.0,223647.0,432210.0
2009-12-31,211023.0,59202.0,116116.0,4912.0,21068.0,2770.0,2446.0,654911.0,75861.0,106350.0,33875.0,1255.0,5716.0,5.0,1093.0,2.0,17265.0,4308.0,1455.0,185434.0,625301.0,133209.0,464102.0,53049.0,215749.0,56721.0,303695.0,625301.0,49402.0,143149.0,47016.0,224535.0,464102.0
2010-03-31,209451.0,59291.0,128045.0,8544.0,21235.0,2567.0,2833.0,669881.0,77792.0,110688.0,33343.0,1202.0,5867.0,4.0,2500.0,0.0,17093.0,4366.0,2038.0,186344.0,600133.0,137364.0,448410.0,53310.0,188330.0,45584.0,312909.0,600133.0,46036.0,131917.0,38185.0,232272.0,448410.0
2010-06-30,188736.0,59361.0,130192.0,5887.0,30167.0,2590.0,1832.0,646709.0,77803.0,117684.0,33781.0,1201.0,5690.0,4.0,2141.0,0.0,16850.0,4462.0,1709.0,178373.0,616240.0,129692.0,466684.0,54006.0,191833.0,48373.0,322028.0,616240.0,46701.0,136408.0,40602.0,242972.0,466684.0
2010-09-30,190066.0,57652.0,133694.0,5325.0,34127.0,2522.0,2226.0,705230.0,83803.0,134686.0,34763.0,1204.0,5918.0,2.0,2634.0,0.0,18355.0,4478.0,2197.0,184693.0,627122.0,137943.0,478497.0,54579.0,197331.0,46719.0,328493.0,627122.0,47271.0,142178.0,39424.0,249624.0,478497.0
2010-12-31,190274.0,58977.0,138151.0,5210.0,35343.0,2770.0,1791.0,746777.0,84816.0,129026.0,31876.0,1206.0,5526.0,2.0,2617.0,0.0,20222.0,4527.0,1920.0,189514.0,664878.0,144892.0,512119.0,60785.0,217646.0,57886.0,328561.0,664878.0,53096.0,158118.0,48978.0,251927.0,512119.0
2011-03-31,197269.0,59070.0,127537.0,5321.0,26994.0,2793.0,2342.0,738146.0,85780.0,135210.0,32098.0,1180.0,5643.0,2.0,3052.0,0.0,21203.0,4575.0,2083.0,189951.0,630764.0,144628.0,491707.0,59587.0,195763.0,47246.0,328168.0,630764.0,51682.0,145872.0,40154.0,253999.0,491707.0
2011-06-30,204370.0,60686.0,131909.0,5007.0,28280.0,2923.0,1996.0,744458.0,85364.0,137792.0,32054.0,1133.0,6568.0,2.0,3123.0,0.0,18626.0,4868.0,1778.0,187051.0,640768.0,146497.0,509443.0,58035.0,199691.0,50591.0,332450.0,640768.0,50540.0,153239.0,43336.0,262327.0,509443.0
2011-09-30,212968.0,61277.0,134207.0,5007.0,27261.0,2215.0,1648.0,738781.0,84827.0,134300.0,34293.0,1169.0,7207.0,2.0,3119.0,0.0,18452.0,5085.0,1826.0,194087.0,645290.0,154158.0,521831.0,59544.0,203865.0,50606.0,331275.0,645290.0,51850.0,160906.0,43813.0,265262.0,521831.0
2011-12-31,215362.0,61089.0,139467.0,5056.0,27141.0,2189.0,1406.0,777013.0,88727.0,141568.0,34543.0,1129.0,7651.0,2.0,3411.0,0.0,18619.0,5184.0,1779.0,198008.0,693232.0,160078.0,570823.0,68300.0,225223.0,64584.0,335125.0,693232.0,60168.0,181949.0,56221.0,272484.0,570823.0
2012-03-31,224071.0,60949.0,142886.0,5118.0,28798.0,1973.0,1427.0,814162.0,85785.0,149282.0,35098.0,1088.0,8501.0,2.0,3346.0,0.0,18642.0,4817.0,1788.0,201634.0,651622.0,162669.0,542166.0,63697.0,201713.0,50794.0,335418.0,651622.0,56512.0,165384.0,44496.0,275774.0,542166.0
2012-06-30,223043.0,59949.0,150475.0,5247.0,30947.0,2037.0,1276.0,824009.0,89000.0,153874.0,35889.0,1115.0,7690.0,2.0,3540.0,0.0,18551.0,5988.0,1777.0,194724.0,659658.0,160249.0,557659.0,64482.0,202909.0,55137.0,337130.0,659658.0,57286.0,169388.0,48704.0,282281.0,557659.0
2012-09-30,238948.0,59611.0,162440.0,4755.0,31842.0,2021.0,1264.0,874327.0,86104.0,156327.0,37127.0,1119.0,7109.0,4.0,4530.0,0.0,18492.0,6801.0,1940.0,201884.0,668860.0,169761.0,571109.0,63976.0,209622.0,53943.0,341319.0,668860.0,57048.0,176569.0,48135.0,289358.0,571109.0
2012-12-31,210888.0,62365.0,162524.0,6513.0,33069.0,2027.0,1354.0,940305.0,90184.0,160852.0,39036.0,1098.0,7620.0,2.0,4441.0,0.0,19127.0,5343.0,2157.0,207698.0,714117.0,178534.0,622306.0,73675.0,226720.0,66657.0,347066.0,714117.0,66179.0,196967.0,59856.0,299304.0,622306.0
2013-03-31,221011.0,59878.0,156230.0,6540.0,32398.0,1966.0,1242.0,987897.0,100658.0,174256.0,40649.0,1203.0,6810.0,14.0,4248.0,0.0,20815.0,5722.0,2592.0,206802.0,665060.0,177687.0,588122.0,68605.0,201083.0,53057.0,342315.0,665060.0,61917.0,176768.0,48026.0,301410.0,588122.0
2013-06-30,208555.0,53235.0,174854.0,6074.0,31005.0,2046.0,1315.0,987458.0,104036.0,163519.0,40736.0,1129.0,7107.0,14.0,4726.0,0.0,21049.0,6110.0,2571.0,202578.0,674875.0,178382.0,605504.0,69487.0,201994.0,58405.0,344990.0,674875.0,63271.0,179648.0,53301.0,309284.0,605504.0
2013-09-30,195821.0,53149.0,178973.0,6032.0,28708.0,1966.0,1415.0,1056507.0,106107.0,178331.0,39560.0,1232.0,8143.0,14.0,4820.0,0.0,22966.0,6058.0,1940.0,208364.0,676078.0,186940.0,614168.0,67246.0,205468.0,56935.0,346429.0,676078.0,62075.0,186679.0,52324.0,313091.0,614168.0
2013-12-31,173756.0,57378.0,177182.0,4078.0,31508.0,2141.0,1422.0,1124386.0,125921.0,167408.0,39528.0,1551.0,7581.0,38.0,4609.0,0.0,22530.0,5567.0,2738.0,213677.0,720036.0,195178.0,662959.0,73523.0,227185.0,69602.0,349726.0,720036.0,68903.0,208153.0,64637.0,321265.0,662959.0
2014-03-31,166494.0,56252.0,186363.0,4328.0,32141.0,2034.0,1384.0,1162848.0,178353.0,123097.0,39701.0,1493.0,7513.0,35.0,4334.0,0.0,24356.0,6116.0,2670.0,211048.0,668414.0,193158.0,624948.0,67543.0,200569.0,56357.0,343944.0,668414.0,63999.0,187922.0,53186.0,319840.0,624948.0
2014-06-30,172048.0,55818.0,187542.0,5732.0,33309.0,2061.0,1414.0,1217486.0,181437.0,128534.0,41504.0,1555.0,7791.0,38.0,5274.0,0.0,25351.0,6250.0,2874.0,206102.0,675644.0,193499.0,643364.0,66065.0,202209.0,60205.0,347166.0,675644.0,63722.0,193698.0,57487.0,328457.0,643364.0
2014-09-30,179329.0,56199.0,195453.0,4335.0,32505.0,2097.0,1399.0,1214066.0,184217.0,128171.0,43307.0,1629.0,8674.0,93.0,590.0,0.0,24708.0,10854.0,3133.0,212980.0,682414.0,203371.0,657725.0,67566.0,207405.0,58948.0,348493.0,682414.0,65486.0,202046.0,57011.0,333182.0,657725.0
2014-12-31,165749.0,57953.0,198254.0,4629.0,29365.0,2071.0,1171.0,1246906.0,204097.0,131394.0,43010.0,1857.0,10271.0,144.0,598.0,0.0,25047.0,10834.0,2503.0,217304.0,729279.0,208390.0,707089.0,75130.0,231708.0,72272.0,350170.0,729279.0,73348.0,225336.0,70660.0,337745.0,707089.0
2015-03-31,166532.0,58122.0,208313.0,4259.0,29245.0,2071.0,1121.0,1317900.0,206319.0,134044.0,45044.0,1835.0,10760.0,69.0,486.0,0.0,26156.0,11007.0,2812.0,209988.0,681236.0,202501.0,664732.0,69375.0,205260.0,58126.0,348476.0,681236.0,68561.0,197971.0,57365.0,340834.0,664732.0
2015-06-30,181549.0,64956.0,222298.0,5475.0,30184.0,1862.0,920.0,1263344.0,215417.0,137996.0,49791.0,1940.0,11234.0,57.0,524.0,0.0,25550.0,10562.0,2177.0,205341.0,689358.0,203300.0,685756.0,66947.0,207956.0,61215.0,353241.0,689358.0,66569.0,207322.0,60927.0,350938.0,685756.0
2015-09-30,191234.0,66034.0,217440.0,5434.0,35289.0,2876.0,858.0,1292559.0,257218.0,88788.0,51509.0,2017.0,12641.0,69.0,753.0,0.0,25498.0,10444.0,1934.0,210128.0,697973.0,213057.0,704139.0,66818.0,212610.0,60185.0,358360.0,697973.0,66987.0,216231.0,60404.0,360517.0,704139.0
2015-12-31,201790.0,67545.0,196832.0,5155.0,35435.0,2334.0,826.0,1321258.0,241367.0,83002.0,59372.0,2086.0,8587.0,14.0,924.0,9.0,24581.0,12993.0,2021.0,213834.0,746643.0,220433.0,760583.0,74956.0,238597.0,74990.0,358101.0,746643.0,75978.0,242899.0,75819.0,365887.0,760583.0
2016-03-31,201245.0,68138.0,186948.0,5767.0,37511.0,2326.0,765.0,1359409.0,260377.0,48334.0,58235.0,2081.0,9514.0,47.0,804.0,9.0,27507.0,12823.0,2163.0,214231.0,684825.0,222169.0,711378.0,64544.0,208495.0,59732.0,352053.0,684825.0,67043.0,217241.0,61207.0,365887.0,711378.0
2016-06-30,201792.0,69702.0,188522.0,6124.0,38545.0,2653.0,880.0,1376393.0,262576.0,68048.0,56143.0,1902.0,10034.0,80.0,1661.0,10.0,28323.0,14746.0,1997.0,210733.0,693945.0,226501.0,735078.0,62808.0,210180.0,63853.0,357104.0,693945.0,66751.0,225284.0,66529.0,376514.0,735078.0
2016-09-30,222568.0,71091.0,188543.0,5780.0,39152.0,2314.0,860.0,1378452.0,259303.0,68077.0,54435.0,1913.0,10959.0,81.0,1645.0,10.0,28939.0,15188.0,2088.0,214241.0,703302.0,231400.0,754211.0,62787.0,216341.0,61135.0,363038.0,703302.0,66765.0,235657.0,64551.0,387238.0,754211.0
2016-12-31,205448.0,65216.0,190216.0,5542.0,42357.0,2311.0,897.0,1373142.0,250363.0,72688.0,54000.0,2038.0,11539.0,80.0,1517.0,10.0,27418.0,14737.0,2065.0,217018.0,752354.0,238883.0,811229.0,71744.0,237304.0,77106.0,366200.0,752354.0,75675.0,261629.0,82244.0,391681.0,811229.0
2017-03-31,218871.0,65430.0,185929.0,5688.0,43403.0,2274.0,710.0,1406207.0,245409.0,70964.0,54114.0,2014.0,11567.0,81.0,1507.0,10.0,28969.0,14804.0,2031.0,215149.0,689926.0,236875.0,755312.0,64299.0,204184.0,57960.0,363483.0,689926.0,68767.0,230002.0,62172.0,394372.0,755312.0
2017-06-30,214107.0,67537.0,178403.0,5314.0,45055.0,2553.0,708.0,1406543.0,246607.0,74027.0,57434.0,1984.0,13239.0,142.0,1648.0,10.0,27772.0,15535.0,1944.0,209923.0,704508.0,240241.0,778967.0,63123.0,209601.0,63764.0,368020.0,704508.0,67574.0,238952.0,68778.0,403663.0,778967.0
2017-09-30,241976.0,64711.0,187589.0,4720.0,47473.0,2621.0,747.0,1469168.0,252483.0,62269.0,57412.0,1971.0,12821.0,159.0,1684.0,0.0,30152.0,15958.0,1718.0,212978.0,716844.0,245963.0,799323.0,66917.0,215291.0,62960.0,371676.0,716844.0,71561.0,246981.0,67951.0,412830.0,799323.0
2017-12-31,234411.0,66743.0,197028.0,4930.0,47862.0,2806.0,772.0,1515061.0,261465.0,57936.0,57416.0,1900.0,12682.0,158.0,2268.0,6.0,28731.0,15747.0,1844.0,215791.0,771736.0,253765.0,866113.0,77330.0,239944.0,82406.0,372056.0,771736.0,82114.0,279163.0,89022.0,415814.0,866113.0
2018-03-31,244191.0,68064.0,206630.0,5220.0,47434.0,2138.0,149.0,1476369.0,271210.0,54063.0,58563.0,1861.0,14220.0,165.0,2546.0,11.0,27341.0,15824.0,1712.0,216310.0,713986.0,249291.0,810311.0,70809.0,209762.0,61161.0,372254.0,713986.0,75430.0,246646.0,66342.0,421893.0,810311.0
2018-06-30,240482.0,70696.0,196713.0,4800.0,43035.0,2037.0,148.0,1529614.0,263460.0,53136.0,59482.0,1831.0,14198.0,135.0,2245.0,10.0,29553.0,18675.0,1604.0,212696.0,726754.0,255945.0,833257.0,69144.0,212691.0,64834.0,380085.0,726754.0,73216.0,253759.0,70807.0,435476.0,833257.0
2018-09-30,241689.0,72594.0,207908.0,4779.0,42640.0,2003.0,41.0,1563345.0,261848.0,55006.0,62651.0,1821.0,14332.0,143.0,2407.0,40.0,30217.0,19156.0,1632.0,214304.0,731951.0,261562.0,851670.0,69376.0,220216.0,64287.0,378073.0,731951.0,73956.0,267617.0,70279.0,439818.0,851670.0
2018-12-31,226525.0,77874.0,202990.0,4955.0,42627.0,1871.0,40.0,1536268.0,264524.0,50375.0,59514.0,1826.0,15098.0,143.0,2447.0,45.0,28931.0,19971.0,1986.0,218668.0,787561.0,271564.0,920148.0,80303.0,246135.0,82743.0,378380.0,787561.0,85745.0,301356.0,90621.0,442425.0,920148.0
2019-03-31,235898.0,79037.0,209608.0,4496.0,42812.0,1854.0,23.0,1610063.0,276632.0,47603.0,61925.0,2378.0,14722.0,152.0,2439.0,49.0,28985.0,20715.0,1562.0,219893.0,720309.0,266999.0,848262.0,70022.0,213476.0,61379.0,375431.0,720309.0,75126.0,261751.0,67721.0,443663.0,848262.0
2019-06-30,244374.0,81288.0,221693.0,4577.0,42646.0,1795.0,32.0,1625127.0,271923.0,49179.0,61579.0,3488.0,15153.0,156.0,2538.0,46.0,29930.0,20561.0,1306.0,215704.0,734500.0,270390.0,877167.0,69514.0,217355.0,66888.0,380741.0,734500.0,74965.0,271779.0,74399.0,456024.0,877167.0
2019-09-30,243799.0,63084.0,228200.0,4941.0,42388.0,1755.0,418.0,1594546.0,280582.0,43369.0,66143.0,3426.0,15735.0,159.0,2514.0,48.0,30400.0,21498.0,1499.0,221087.0,742758.0,278807.0,896701.0,71091.0,222230.0,64978.0,384459.0,742758.0,77303.0,282514.0,72576.0,464309.0,896701.0
2019-12-31,244034.0,64540.0,225955.0,5273.0,42147.0,1731.0,419.0,1628914.0,292239.0,49840.0,65772.0,3483.0,16732.0,156.0,2436.0,48.0,30663.0,21429.0,1660.0,225083.0,799270.0,288300.0,966766.0,80742.0,246808.0,83071.0,388649.0,799270.0,86966.0,314191.0,92929.0,472680.0,966766.0
2020-03-31,240743.0,59076.0,209671.0,4298.0,40984.0,1674.0,396.0,1396955.0,271504.0,50028.0,69666.0,3897.0,15124.0,147.0,2179.0,50.0,27903.0,21265.0,1411.0,224101.0,740719.0,285165.0,904879.0,71307.0,214681.0,63059.0,391671.0,740719.0,77752.0,276878.0,70798.0,479451.0,904879.0
2020-06-30,229278.0,58646.0,255360.0,4326.0,42672.0,1501.0,393.0,1552031.0,281592.0,53226.0,74156.0,3960.0,15835.0,162.0,2229.0,70.0,27562.0,21556.0,1471.0,216386.0,597196.0,278928.0,735941.0,49517.0,181195.0,37409.0,329076.0,597196.0,54716.0,233208.0,42027.0,405990.0,735941.0
2020-09-30,219818.0,59106.0,280421.0,4550.0,41562.0,1477.0,404.0,1571128.0,271339.0,55156.0,81604.0,3690.0,17381.0,161.0,2237.0,82.0,28436.0,21290.0,1373.0,221775.0,707750.0,289833.0,876514.0,70320.0,215262.0,57248.0,364920.0,586381.5,78234.0,282410.0,65136.0,450734.0,814817.0
